=== Layer 0 ===
 layer  head  temperature
     0     5     0.010198
     0     3     0.012319
     0     6     0.012504
     0     7     0.013443
     0     2     0.013681
     0     0     0.016295
     0     4     0.016534
     0     1     0.020569

=== Layer 1 ===
 layer  head  temperature
     1     5     0.004939
     1     6     0.005890
     1     3     0.005990
     1     7     0.006137
     1     2     0.006818
     1     4     0.006872
     1     0     0.007753
     1     1     0.009269

=== Layer 2 ===
 layer  head  temperature
     2     5     0.004161
     2     6     0.004756
     2     7     0.004871
     2     3     0.004922
     2     4     0.005241
     2     2     0.005465
     2     0     0.006074
     2     1     0.007005

=== Layer 3 ===
 layer  head  temperature
     3     5     0.003000
     3     6     0.003447
     3     3     0.003558
     3     7     0.003567
     3     2     0.003810
     3     4     0.003852
     3     0     0.004302
     3     1     0.004947
